Time, PoorSignal, Attention, Meditation
18:39:22, 0, 44, 44
18:39:23, 0, 29, 54
18:39:24, 0, 38, 56
18:39:25, 0, 38, 53
18:39:26, 0, 41, 60
18:39:27, 0, 54, 66
18:39:28, 0, 48, 67
18:39:29, 0, 43, 64
18:39:30, 0, 51, 64
18:39:31, 0, 61, 51
18:39:32, 0, 87, 50
18:39:33, 0, 100, 57
18:39:34, 0, 100, 43
18:39:35, 0, 81, 41
18:39:36, 0, 43, 35
18:39:37, 0, 34, 27
18:39:38, 0, 17, 35
18:39:39, 0, 20, 29
18:39:40, 0, 51, 48
18:39:41, 0, 50, 53
18:39:42, 0, 47, 56
18:39:43, 0, 44, 69
18:39:44, 0, 26, 61
18:39:45, 0, 14, 64
18:39:46, 0, 34, 47
18:39:47, 0, 40, 26
18:39:48, 0, 47, 27
18:39:49, 0, 60, 26
18:39:50, 0, 60, 48
18:39:51, 0, 44, 63
18:39:52, 0, 48, 66
18:39:53, 0, 63, 69
