Time, PoorSignal, Attention, Meditation
20:35:51, 0, 41, 63
20:35:52, 0, 60, 81
20:35:53, 0, 57, 83
20:35:54, 0, 74, 94
20:35:55, 0, 70, 100
20:35:56, 0, 61, 83
20:35:57, 0, 74, 69
20:35:58, 0, 63, 64
20:35:59, 0, 69, 56
20:36:00, 0, 84, 50
20:36:01, 0, 70, 69
20:36:02, 0, 78, 77
20:36:03, 0, 57, 70
20:36:04, 0, 53, 83
20:36:05, 0, 60, 77
20:36:06, 0, 67, 70
20:36:07, 0, 77, 74
20:36:08, 0, 66, 84
20:36:09, 0, 50, 54
20:36:10, 0, 41, 51
20:36:11, 0, 54, 47
20:36:12, 0, 56, 41
20:36:13, 0, 57, 69
20:36:14, 0, 43, 67
20:36:15, 0, 37, 81
20:36:16, 0, 41, 87
20:36:17, 0, 50, 91
20:36:18, 0, 64, 100
20:36:19, 0, 56, 100
20:36:20, 0, 57, 96
