Time, PoorSignal, Attention, Meditation
13:05:39, 0, 35, 43
13:05:40, 0, 29, 34
13:05:41, 0, 35, 30
13:05:42, 0, 27, 26
13:05:43, 0, 14, 20
13:05:44, 0, 20, 40
13:05:45, 0, 23, 48
13:05:46, 0, 26, 47
13:05:47, 0, 40, 47
13:05:48, 0, 37, 35
13:05:49, 0, 30, 34
13:05:50, 0, 27, 47
13:05:51, 0, 34, 40
13:05:52, 0, 41, 54
13:05:53, 0, 38, 61
13:05:54, 0, 35, 40
13:05:55, 0, 26, 34
13:05:56, 0, 14, 29
13:05:57, 0, 27, 20
13:05:58, 0, 35, 37
13:05:59, 0, 35, 41
13:06:00, 0, 44, 41
13:06:01, 0, 38, 47
13:06:02, 0, 37, 38
13:06:03, 0, 26, 38
13:06:04, 0, 35, 37
13:06:05, 0, 27, 35
13:06:06, 0, 34, 23
13:06:07, 0, 47, 27
13:06:08, 0, 20, 23
