Time, Value
20:08:28, -84
20:08:28, -122
20:08:28, -141
20:08:28, -88
20:08:28, -5
20:08:28, -6
20:08:28, -36
20:08:28, -45
20:08:28, -2
20:08:28, 136
20:08:28, 235
20:08:28, 192
20:08:28, 103
20:08:28, 64
20:08:28, 76
20:08:28, 84
20:08:28, 32
20:08:28, -25
20:08:28, -55
20:08:28, -49
20:08:28, 2
20:08:28, 71
20:08:28, 88
20:08:28, 52
20:08:28, -20
20:08:28, -19
20:08:28, 39
20:08:28, 74
20:08:28, 51
20:08:28, -11
20:08:28, -93
20:08:28, -173
20:08:28, -177
20:08:28, -88
20:08:28, 6
20:08:28, 90
20:08:28, 166
20:08:28, 160
20:08:28, 128
20:08:28, 129
20:08:28, 119
20:08:28, 89
20:08:28, 57
20:08:28, -18
20:08:28, -120
20:08:28, -169
20:08:28, -151
20:08:28, -121
20:08:28, -45
20:08:28, 28
20:08:28, 115
20:08:28, 163
20:08:28, 130
20:08:28, 84
20:08:28, 86
20:08:28, 73
20:08:28, 22
20:08:28, -10
20:08:28, -9
20:08:28, -36
20:08:28, -92
20:08:28, -42
20:08:28, 51
20:08:28, 64
20:08:28, 1
20:08:28, -65
20:08:28, -86
20:08:28, 3
20:08:28, 167
20:08:28, 251
20:08:28, 212
20:08:28, 93
20:08:28, 1
20:08:28, -38
20:08:28, -51
20:08:28, -43
20:08:28, -5
20:08:28, 6
20:08:28, -65
20:08:28, -163
20:08:28, -171
20:08:28, -145
20:08:28, -131
20:08:28, -89
20:08:28, 22
20:08:28, 123
20:08:28, 130
20:08:28, 73
20:08:28, 4
20:08:28, -23
20:08:28, -22
20:08:28, -14
20:08:28, 12
20:08:28, 50
20:08:28, 35
20:08:28, -23
20:08:28, -73
20:08:28, -98
20:08:28, -86
20:08:28, -46
20:08:28, -14
20:08:28, -34
20:08:28, -76
20:08:28, -152
20:08:28, -204
20:08:28, -125
20:08:28, -8
20:08:28, 42
20:08:28, 80
20:08:28, 118
20:08:28, 116
20:08:28, 114
20:08:28, 108
20:08:28, 114
20:08:28, 116
20:08:28, 58
20:08:28, 7
20:08:28, 21
20:08:28, 71
20:08:28, 59
20:08:28, -20
20:08:28, -115
20:08:28, -75
20:08:28, 76
20:08:28, 167
20:08:28, 134
20:08:28, 50
20:08:28, 23
20:08:28, 40
20:08:28, 6
20:08:28, -35
20:08:28, -7
20:08:28, 35
20:08:28, 35
20:08:28, 9
20:08:28, 19
20:08:28, 56
20:08:28, 65
20:08:28, 24
20:08:28, -37
20:08:28, -105
20:08:28, -124
20:08:28, -82
20:08:28, -41
20:08:28, -30
20:08:28, -2
20:08:28, 11
20:08:28, 4
20:08:28, -36
20:08:28, -90
20:08:28, -75
20:08:28, -3
20:08:28, 41
20:08:28, 34
20:08:28, 34
20:08:28, 2
20:08:28, -70
20:08:28, -113
20:08:28, -23
20:08:28, 155
20:08:28, 247
20:08:28, 181
20:08:28, 77
20:08:28, 24
20:08:28, 5
20:08:28, 36
20:08:28, 107
20:08:28, 100
20:08:28, 6
20:08:28, -75
20:08:28, -40
20:08:28, 22
20:08:28, -43
20:08:28, -154
20:08:28, -145
20:08:28, -52
20:08:29, 3
20:08:29, 20
20:08:29, 48
20:08:29, 89
20:08:29, 69
20:08:29, 22
20:08:29, 45
20:08:29, 98
20:08:29, 57
20:08:29, -5
20:08:29, -101
20:08:29, -237
20:08:29, -210
20:08:29, -36
20:08:29, 80
20:08:29, 106
20:08:29, 84
20:08:29, 58
20:08:29, 68
20:08:29, 90
20:08:29, 133
20:08:29, 145
20:08:29, 98
20:08:29, 38
20:08:29, 4
20:08:29, -20
20:08:29, -78
20:08:29, -110
20:08:29, -38
20:08:29, 76
20:08:29, 108
20:08:29, 57
20:08:29, -9
20:08:29, -36
