Time, PoorSignal, Attention, Meditation
14:35:26, 0, 66, 38
14:35:27, 0, 91, 54
14:35:28, 0, 90, 57
14:35:29, 0, 88, 70
14:35:30, 0, 63, 66
14:35:31, 0, 57, 66
14:35:32, 0, 44, 83
14:35:33, 0, 47, 80
14:35:34, 0, 53, 93
14:35:35, 0, 44, 83
14:35:36, 0, 70, 53
14:35:37, 0, 64, 44
14:35:38, 0, 60, 30
14:35:39, 26, 60, 30
14:35:40, 0, 54, 23
14:35:41, 0, 27, 16
14:35:42, 0, 38, 23
14:35:43, 0, 41, 16
14:35:44, 0, 35, 17
14:35:45, 0, 38, 29
14:35:46, 0, 24, 26
14:35:47, 0, 24, 35
14:35:48, 0, 24, 51
14:35:49, 0, 11, 51
14:35:50, 0, 10, 48
14:35:51, 0, 14, 57
14:35:52, 0, 21, 61
14:35:53, 0, 23, 78
14:35:54, 0, 30, 57
14:35:55, 0, 8, 40
