Time, PoorSignal, Attention, Meditation
20:07:54, 0, 17, 38
20:07:55, 0, 11, 44
20:07:56, 0, 30, 54
20:07:57, 0, 60, 61
20:07:58, 0, 70, 67
20:07:59, 0, 69, 69
20:08:00, 0, 61, 81
20:08:01, 0, 34, 77
20:08:02, 0, 40, 74
20:08:03, 0, 41, 69
20:08:04, 0, 27, 63
20:08:05, 0, 35, 78
20:08:06, 0, 16, 83
20:08:07, 0, 8, 77
20:08:08, 0, 26, 77
20:08:09, 0, 29, 66
20:08:10, 0, 50, 56
20:08:11, 0, 61, 61
20:08:12, 0, 54, 60
20:08:13, 0, 63, 53
20:08:14, 0, 40, 51
20:08:15, 0, 26, 41
20:08:16, 0, 16, 44
20:08:17, 0, 14, 47
20:08:18, 0, 21, 54
20:08:19, 0, 37, 60
20:08:20, 0, 41, 54
20:08:21, 0, 29, 56
20:08:22, 0, 37, 50
20:08:23, 0, 26, 61
20:08:24, 0, 37, 64
