Time, PoorSignal, Attention, Meditation
21:09:23, 0, 20, 24
21:09:24, 0, 23, 27
21:09:25, 0, 44, 37
21:09:26, 0, 51, 63
21:09:27, 0, 56, 67
21:09:28, 0, 54, 70
21:09:29, 0, 51, 70
21:09:30, 0, 57, 64
21:09:31, 0, 57, 64
21:09:32, 0, 56, 56
21:09:33, 0, 51, 53
21:09:34, 0, 48, 61
21:09:35, 0, 51, 57
21:09:36, 0, 47, 63
21:09:37, 0, 47, 60
21:09:38, 0, 50, 56
21:09:39, 0, 47, 61
21:09:40, 0, 48, 74
21:09:41, 0, 40, 70
21:09:42, 0, 40, 69
21:09:43, 0, 35, 57
21:09:44, 0, 37, 50
21:09:45, 0, 38, 54
21:09:46, 0, 38, 57
21:09:47, 0, 40, 37
21:09:48, 0, 41, 27
21:09:49, 0, 50, 27
21:09:50, 0, 43, 23
21:09:51, 0, 47, 53
21:09:52, 0, 54, 57
