Time, PoorSignal, Attention, Meditation
19:34:43, 0, 47, 91
19:34:44, 0, 56, 77
19:34:45, 0, 56, 61
19:34:46, 0, 53, 70
19:34:47, 0, 56, 78
19:34:48, 0, 54, 84
19:34:49, 0, 56, 94
19:34:50, 0, 64, 88
19:34:51, 0, 70, 83
19:34:52, 0, 75, 81
19:34:53, 0, 77, 77
19:34:53, 0, 69, 75
19:34:54, 0, 77, 64
19:34:56, 0, 69, 74
19:34:56, 0, 69, 77
19:34:57, 0, 70, 74
19:34:58, 0, 63, 83
19:34:59, 0, 69, 75
19:35:00, 0, 69, 70
19:35:01, 0, 69, 78
19:35:02, 0, 69, 78
19:35:03, 0, 61, 91
19:35:04, 0, 63, 94
19:35:05, 0, 61, 87
19:35:06, 0, 70, 77
19:35:07, 0, 75, 64
19:35:08, 0, 69, 64
19:35:09, 0, 60, 53
19:35:10, 0, 41, 57
19:35:11, 0, 34, 63
19:35:12, 0, 44, 66
19:35:13, 0, 50, 77
