Time, PoorSignal, Attention, Meditation
19:38:01, 0, 66, 57
19:38:02, 0, 67, 56
19:38:03, 0, 54, 66
19:38:04, 0, 57, 75
19:38:05, 0, 64, 61
19:38:06, 0, 63, 63
19:38:07, 0, 81, 54
19:38:08, 0, 83, 38
19:38:09, 0, 93, 29
19:38:10, 0, 96, 26
19:38:11, 0, 91, 24
19:38:12, 0, 83, 41
19:38:13, 0, 74, 53
19:38:14, 0, 67, 61
19:38:15, 0, 56, 53
19:38:16, 0, 67, 54
19:38:17, 0, 74, 56
19:38:18, 0, 69, 54
19:38:19, 0, 83, 67
19:38:20, 0, 66, 69
19:38:21, 0, 54, 66
19:38:22, 0, 60, 56
19:38:23, 0, 57, 50
19:38:24, 0, 69, 29
19:38:25, 0, 74, 26
19:38:26, 0, 69, 26
19:38:27, 0, 66, 35
19:38:28, 0, 66, 53
19:38:29, 0, 61, 48
19:38:30, 0, 60, 41
