Time, PoorSignal, Attention, Meditation
19:51:14, 0, 84, 50
19:51:15, 0, 70, 64
19:51:16, 0, 63, 66
19:51:17, 0, 64, 74
19:51:18, 0, 70, 60
19:51:19, 0, 66, 43
19:51:20, 0, 60, 43
19:51:21, 0, 56, 29
19:51:22, 0, 56, 41
19:51:23, 0, 60, 57
19:51:24, 0, 60, 64
19:51:25, 0, 51, 83
19:51:26, 0, 34, 100
19:51:27, 0, 29, 93
19:51:28, 0, 27, 94
19:51:29, 0, 26, 96
19:51:30, 0, 35, 84
19:51:31, 0, 37, 84
19:51:32, 0, 34, 93
19:51:33, 0, 34, 94
19:51:34, 0, 27, 93
19:51:35, 0, 35, 88
19:51:36, 0, 41, 63
19:51:37, 0, 41, 50
19:51:38, 0, 53, 41
19:51:39, 0, 63, 40
19:51:40, 0, 69, 40
19:51:41, 0, 74, 30
19:51:42, 0, 66, 43
19:51:43, 0, 54, 37
