Time, PoorSignal, Attention, Meditation
16:35:58, 0, 21, 81
16:35:59, 0, 29, 80
16:36:00, 0, 29, 87
16:36:01, 0, 40, 90
16:36:02, 0, 48, 93
16:36:03, 0, 38, 97
16:36:04, 0, 47, 87
16:36:05, 0, 40, 93
16:36:06, 0, 44, 93
16:36:07, 0, 51, 91
16:36:08, 0, 51, 96
16:36:09, 0, 63, 90
16:36:10, 0, 67, 88
16:36:11, 0, 78, 90
16:36:12, 0, 67, 74
16:36:13, 0, 66, 75
16:36:14, 0, 57, 64
16:36:15, 0, 57, 53
16:36:16, 0, 66, 60
16:36:17, 0, 70, 48
16:36:18, 0, 75, 50
16:36:19, 0, 70, 54
16:36:20, 0, 70, 51
16:36:21, 0, 69, 64
16:36:22, 0, 66, 64
16:36:23, 0, 56, 60
16:36:24, 0, 56, 66
16:36:25, 0, 66, 56
16:36:26, 0, 66, 54
16:36:27, 0, 67, 56
16:36:28, 0, 81, 51
