Time, PoorSignal, Attention, Meditation
14:07:09, 0, 50, 67
14:07:10, 0, 51, 74
14:07:11, 0, 53, 78
14:07:12, 0, 48, 83
14:07:13, 0, 60, 80
14:07:14, 0, 50, 81
14:07:15, 0, 64, 80
14:07:16, 0, 70, 84
14:07:17, 0, 64, 88
14:07:18, 0, 78, 83
14:07:19, 0, 51, 83
14:07:20, 0, 51, 77
14:07:21, 0, 50, 80
14:07:22, 0, 48, 88
14:07:23, 0, 53, 91
14:07:24, 0, 56, 87
14:07:25, 0, 54, 69
14:07:26, 0, 47, 53
14:07:27, 0, 43, 53
14:07:28, 0, 47, 54
14:07:29, 0, 57, 69
14:07:30, 0, 69, 74
14:07:31, 0, 81, 77
14:07:32, 0, 78, 66
14:07:33, 0, 66, 74
14:07:34, 0, 61, 74
14:07:35, 0, 63, 67
14:07:36, 0, 67, 77
14:07:37, 0, 77, 66
