Time, PoorSignal, Attention, Meditation
19:38:35, 0, 54, 53
19:38:36, 0, 61, 57
19:38:37, 0, 69, 56
19:38:38, 0, 69, 63
19:38:39, 0, 77, 64
19:38:40, 0, 77, 64
19:38:41, 0, 60, 54
19:38:42, 0, 51, 47
19:38:43, 0, 48, 29
19:38:44, 0, 43, 11
19:38:45, 0, 47, 13
19:38:46, 0, 50, 16
19:38:47, 0, 51, 30
19:38:48, 0, 51, 47
19:38:49, 0, 61, 63
19:38:50, 0, 56, 60
19:38:51, 0, 61, 50
19:38:52, 0, 66, 61
19:38:53, 0, 74, 38
19:38:54, 0, 83, 44
19:38:55, 0, 78, 60
19:38:56, 0, 88, 44
19:38:57, 0, 81, 56
19:38:58, 0, 77, 61
19:38:59, 0, 87, 48
19:39:00, 0, 81, 43
19:39:01, 0, 87, 44
19:39:02, 0, 84, 40
19:39:03, 0, 80, 41
19:39:04, 0, 70, 50
