Time, PoorSignal, Attention, Meditation
19:21:24, 0, 77, 60
19:21:25, 0, 63, 37
19:21:26, 0, 56, 30
19:21:27, 0, 40, 35
19:21:28, 0, 27, 37
19:21:29, 0, 29, 57
19:21:30, 0, 21, 51
19:21:31, 0, 30, 60
19:21:32, 0, 37, 61
19:21:33, 0, 47, 51
19:21:34, 0, 34, 51
19:21:35, 0, 26, 40
19:21:36, 0, 43, 40
19:21:37, 0, 35, 41
19:21:38, 0, 61, 44
19:21:39, 0, 60, 35
19:21:40, 0, 37, 26
19:21:41, 0, 27, 23
19:21:42, 0, 26, 23
19:21:43, 0, 27, 34
19:21:44, 0, 30, 40
19:21:45, 0, 48, 37
19:21:46, 0, 29, 37
19:21:47, 0, 37, 41
19:21:48, 0, 38, 27
19:21:49, 0, 34, 35
19:21:50, 0, 43, 29
19:21:51, 0, 43, 34
19:21:52, 0, 53, 24
19:21:53, 0, 50, 26
