Time, PoorSignal, Attention, Meditation
18:46:31, 0, 60, 56
18:46:32, 0, 48, 50
18:46:33, 0, 41, 54
18:46:34, 0, 38, 53
18:46:35, 0, 43, 51
18:46:36, 0, 67, 53
18:46:37, 0, 63, 54
18:46:38, 0, 47, 66
18:46:39, 0, 30, 66
18:46:40, 0, 11, 77
18:46:41, 0, 21, 78
18:46:42, 0, 24, 77
18:46:43, 0, 41, 69
18:46:44, 0, 51, 54
18:46:45, 0, 57, 41
18:46:46, 0, 70, 21
18:46:47, 0, 66, 26
18:46:48, 0, 63, 24
18:46:49, 0, 38, 48
18:46:50, 0, 34, 61
18:46:51, 0, 35, 61
18:46:52, 0, 30, 80
18:46:53, 0, 43, 66
18:46:54, 0, 40, 56
18:46:55, 0, 50, 51
18:46:56, 0, 50, 43
18:46:57, 0, 54, 43
18:46:58, 0, 54, 50
18:46:59, 0, 37, 51
18:47:00, 0, 40, 56
