Time, PoorSignal, Attention, Meditation
18:56:36, 0, 51, 51
18:56:37, 0, 69, 47
18:56:38, 0, 56, 43
18:56:39, 0, 60, 47
18:56:40, 0, 57, 56
18:56:41, 0, 37, 70
18:56:42, 0, 43, 81
18:56:43, 0, 34, 83
18:56:44, 0, 30, 83
18:56:45, 0, 41, 83
18:56:46, 0, 38, 83
18:56:47, 0, 37, 77
18:56:48, 0, 38, 69
18:56:49, 0, 34, 64
18:56:50, 0, 29, 63
18:56:51, 0, 30, 61
18:56:52, 0, 30, 61
18:56:53, 0, 37, 56
18:56:54, 0, 41, 48
18:56:55, 0, 40, 57
18:56:56, 0, 43, 61
18:56:57, 0, 35, 67
18:56:58, 0, 34, 90
18:56:59, 0, 47, 83
18:57:00, 0, 35, 91
18:57:01, 0, 43, 90
18:57:02, 0, 53, 74
18:57:03, 0, 43, 84
18:57:04, 0, 51, 75
18:57:05, 0, 47, 70
