Time, PoorSignal, Attention, Meditation
19:02:38, 0, 64, 51
19:02:39, 0, 60, 48
19:02:40, 0, 61, 54
19:02:41, 0, 53, 54
19:02:42, 0, 54, 50
19:02:43, 0, 60, 37
19:02:44, 0, 64, 37
19:02:45, 0, 80, 38
19:02:46, 0, 88, 38
19:02:47, 0, 84, 43
19:02:48, 0, 80, 43
19:02:49, 0, 75, 48
19:02:50, 0, 70, 54
19:02:51, 0, 81, 54
19:02:52, 0, 87, 54
19:02:53, 0, 77, 43
19:02:54, 0, 63, 30
19:02:55, 0, 53, 43
19:02:56, 0, 44, 48
19:02:57, 0, 53, 47
19:02:58, 0, 63, 61
19:02:59, 0, 74, 57
19:03:00, 0, 87, 54
19:03:01, 0, 74, 54
19:03:02, 0, 78, 47
19:03:03, 0, 56, 38
19:03:04, 0, 54, 23
19:03:05, 0, 64, 34
19:03:06, 0, 64, 26
