Time, PoorSignal, Attention, Meditation
13:36:24, 0, 61, 77
13:36:25, 0, 61, 74
13:36:26, 0, 54, 77
13:36:27, 0, 56, 75
13:36:28, 0, 56, 87
13:36:29, 0, 66, 75
13:36:30, 0, 69, 77
13:36:31, 0, 54, 94
13:36:32, 0, 47, 87
13:36:33, 0, 41, 91
13:36:34, 0, 38, 80
13:36:35, 0, 41, 70
13:36:36, 0, 47, 57
13:36:37, 0, 48, 66
13:36:38, 0, 43, 74
13:36:39, 0, 48, 61
13:36:40, 0, 38, 80
13:36:41, 0, 29, 74
13:36:42, 0, 23, 64
13:36:43, 0, 20, 64
13:36:44, 0, 35, 56
13:36:45, 0, 43, 54
13:36:46, 0, 50, 57
13:36:47, 0, 51, 60
13:36:48, 0, 47, 57
13:36:49, 0, 34, 57
13:36:50, 0, 29, 51
13:36:51, 0, 24, 50
13:36:52, 0, 21, 50
13:36:53, 0, 34, 50
