Time, PoorSignal, Attention, Meditation
13:39:59, 0, 41, 57
13:40:00, 0, 30, 57
13:40:01, 0, 37, 47
13:40:02, 0, 54, 51
13:40:03, 0, 60, 50
13:40:04, 0, 64, 60
13:40:05, 0, 53, 43
13:40:06, 0, 26, 35
13:40:07, 0, 27, 41
13:40:08, 0, 24, 40
13:40:09, 0, 35, 56
13:40:10, 0, 54, 57
13:40:11, 0, 54, 44
13:40:12, 0, 50, 43
13:40:13, 0, 43, 37
13:40:14, 0, 35, 40
13:40:15, 0, 23, 40
13:40:16, 0, 27, 34
13:40:17, 0, 43, 35
13:40:18, 0, 43, 38
13:40:19, 0, 53, 50
13:40:20, 0, 51, 50
13:40:21, 0, 40, 44
13:40:22, 0, 48, 48
13:40:23, 0, 50, 44
13:40:24, 0, 35, 40
13:40:25, 0, 47, 48
13:40:26, 0, 47, 44
13:40:27, 0, 48, 50
13:40:28, 0, 51, 53
