Time, PoorSignal, Attention, Meditation
14:25:22, 0, 38, 74
14:25:23, 0, 30, 83
14:25:24, 0, 29, 78
14:25:25, 0, 27, 70
14:25:26, 0, 43, 77
14:25:27, 0, 41, 67
14:25:28, 0, 40, 84
14:25:29, 0, 37, 100
14:25:30, 0, 23, 97
14:25:31, 0, 30, 96
14:25:32, 0, 35, 70
14:25:33, 0, 43, 56
14:25:34, 0, 60, 44
14:25:35, 0, 56, 51
14:25:36, 0, 53, 54
14:25:37, 0, 53, 50
14:25:38, 0, 47, 66
14:25:39, 0, 51, 60
14:25:40, 0, 66, 64
14:25:41, 0, 70, 74
14:25:42, 0, 69, 63
14:25:43, 0, 61, 61
14:25:44, 0, 64, 54
14:25:45, 0, 51, 53
14:25:46, 0, 61, 51
14:25:47, 0, 57, 60
14:25:48, 0, 60, 61
14:25:49, 0, 56, 70
14:25:50, 0, 50, 69
14:25:51, 0, 56, 74
