Time, PoorSignal, Attention, Meditation
17:05:25, 0, 61, 37
17:05:26, 0, 60, 30
17:05:27, 0, 60, 23
17:05:28, 0, 63, 30
17:05:29, 0, 61, 37
17:05:30, 0, 44, 30
17:05:31, 0, 44, 29
17:05:32, 0, 38, 24
17:05:33, 0, 23, 23
17:05:34, 51, 23, 23
17:05:35, 26, 23, 23
17:05:36, 51, 23, 23
17:05:37, 51, 23, 23
17:05:38, 26, 23, 23
17:05:39, 0, 37, 26
17:05:40, 0, 30, 30
17:05:41, 0, 53, 30
17:05:42, 0, 70, 43
17:05:43, 26, 70, 43
17:05:44, 0, 77, 48
17:05:45, 0, 88, 51
17:05:46, 0, 69, 51
17:05:47, 0, 66, 53
17:05:48, 0, 53, 43
17:05:49, 0, 53, 30
17:05:50, 0, 56, 27
17:05:51, 0, 48, 23
17:05:52, 0, 63, 34
17:05:53, 0, 61, 41
17:05:54, 0, 57, 38
17:05:55, 0, 56, 44
