Time, PoorSignal, Attention, Meditation
20:02:24, 0, 81, 43
20:02:25, 0, 63, 38
20:02:26, 0, 50, 41
20:02:27, 0, 41, 23
20:02:28, 0, 64, 23
20:02:29, 0, 74, 21
20:02:30, 0, 78, 10
20:02:31, 0, 91, 24
20:02:32, 0, 74, 14
20:02:33, 0, 70, 29
20:02:34, 0, 69, 56
20:02:35, 0, 50, 74
20:02:36, 0, 41, 93
20:02:37, 0, 27, 100
20:02:38, 0, 24, 96
20:02:39, 0, 20, 81
20:02:40, 0, 14, 66
20:02:41, 0, 10, 56
20:02:42, 0, 7, 61
20:02:43, 0, 3, 57
20:02:44, 0, 13, 57
20:02:45, 0, 26, 44
20:02:46, 0, 23, 21
20:02:47, 0, 35, 4
20:02:48, 0, 56, 7
20:02:49, 0, 64, 14
20:02:50, 0, 88, 23
20:02:51, 0, 96, 38
20:02:52, 0, 91, 41
20:02:53, 0, 93, 43
