Time, PoorSignal, Attention, Meditation
20:32:30, 0, 61, 35
20:32:31, 0, 66, 48
20:32:32, 0, 91, 64
20:32:33, 0, 88, 70
20:32:34, 0, 75, 87
20:32:35, 0, 70, 88
20:32:36, 0, 75, 77
20:32:37, 0, 80, 60
20:32:38, 0, 81, 56
20:32:39, 0, 84, 44
20:32:40, 0, 67, 51
20:32:41, 0, 75, 66
20:32:42, 0, 57, 64
20:32:43, 0, 51, 63
20:32:44, 0, 51, 61
20:32:45, 0, 43, 50
20:32:46, 0, 43, 44
20:32:47, 0, 37, 35
20:32:48, 0, 34, 30
20:32:49, 0, 30, 38
20:32:50, 0, 40, 40
20:32:51, 0, 57, 54
20:32:52, 0, 57, 66
20:32:53, 0, 56, 70
20:32:54, 0, 61, 75
20:32:55, 0, 57, 78
20:32:56, 0, 56, 83
20:32:57, 0, 61, 94
20:32:58, 0, 57, 100
20:32:59, 0, 54, 94
20:33:00, 0, 56, 100
20:33:01, 0, 54, 81
20:33:02, 0, 64, 80
