Time, PoorSignal, Attention, Meditation
17:48:39, 0, 40, 48
17:48:40, 0, 26, 24
17:48:41, 0, 38, 35
17:48:42, 0, 30, 26
17:48:43, 0, 43, 40
17:48:44, 0, 64, 44
17:48:45, 0, 64, 48
17:48:46, 0, 75, 60
17:48:47, 0, 69, 41
17:48:48, 0, 51, 47
17:48:49, 0, 47, 34
17:48:50, 0, 48, 29
17:48:51, 0, 57, 44
17:48:52, 0, 83, 54
17:48:53, 0, 91, 60
17:48:54, 0, 93, 69
17:48:55, 0, 84, 67
17:48:56, 0, 77, 69
17:48:57, 0, 64, 70
17:48:58, 0, 51, 51
17:48:59, 0, 56, 50
17:49:00, 0, 54, 47
17:49:01, 0, 57, 47
17:49:02, 0, 67, 57
17:49:03, 0, 69, 69
17:49:04, 0, 57, 56
17:49:05, 0, 74, 64
17:49:06, 0, 75, 60
17:49:07, 0, 80, 47
17:49:08, 0, 96, 61
17:49:09, 0, 74, 53
17:49:10, 0, 81, 47
17:49:11, 0, 81, 51
17:49:12, 0, 74, 50
