Time, PoorSignal, Attention, Meditation
20:50:22, 0, 41, 10
20:50:23, 0, 51, 8
20:50:24, 0, 70, 14
20:50:25, 0, 75, 26
20:50:26, 0, 61, 38
20:50:27, 0, 57, 35
20:50:28, 0, 41, 35
20:50:29, 0, 34, 34
20:50:30, 0, 30, 20
20:50:31, 0, 21, 34
20:50:32, 0, 17, 34
20:50:33, 0, 21, 27
20:50:34, 0, 23, 41
20:50:35, 0, 37, 29
20:50:36, 0, 34, 27
20:50:37, 0, 29, 24
20:50:38, 0, 38, 17
20:50:39, 0, 40, 14
20:50:40, 0, 41, 13
20:50:41, 0, 40, 21
20:50:42, 0, 40, 17
20:50:43, 0, 23, 24
20:50:44, 0, 21, 40
20:50:45, 0, 16, 30
20:50:46, 0, 8, 43
20:50:47, 0, 11, 41
20:50:48, 0, 11, 23
20:50:49, 0, 10, 23
20:50:50, 0, 24, 29
20:50:51, 0, 24, 29
