Time, PoorSignal, Attention, Meditation
19:50:40, 0, 37, 100
19:50:41, 0, 41, 96
19:50:42, 0, 41, 88
19:50:43, 26, 41, 88
19:50:44, 0, 53, 75
19:50:45, 0, 57, 64
19:50:46, 0, 57, 64
19:50:47, 0, 67, 57
19:50:48, 0, 69, 48
19:50:49, 0, 81, 44
19:50:50, 0, 94, 38
19:50:51, 0, 100, 41
19:50:52, 0, 100, 44
19:50:53, 0, 100, 47
19:50:54, 0, 97, 51
19:50:55, 0, 93, 56
19:50:56, 0, 90, 60
19:50:57, 0, 69, 67
19:50:58, 0, 70, 60
19:50:59, 0, 64, 60
19:51:00, 0, 70, 54
19:51:01, 0, 77, 64
19:51:02, 0, 63, 88
19:51:03, 0, 53, 93
19:51:04, 0, 30, 100
19:51:05, 0, 37, 100
19:51:06, 0, 44, 78
19:51:07, 0, 38, 84
19:51:08, 0, 48, 66
19:51:09, 0, 38, 57
