Time, Value
13:27:42, 21.1
13:27:42, 8.26
13:27:42, 16.1
13:27:42, 33.1
13:27:42, 44
13:27:42, 42.9
13:27:42, 28.4
13:27:42, 0.692
13:27:42, -29.5
13:27:42, -41
13:27:42, -25.8
13:27:42, -0.97
13:27:42, 15.4
13:27:42, 22.6
13:27:42, 27.3
13:27:42, 29.7
13:27:42, 26.5
13:27:42, 17.4
13:27:42, 9.5
13:27:42, 14.2
13:27:42, 31.9
13:27:42, 44.9
13:27:42, 36.7
13:27:42, 13.4
13:27:42, -3.72
13:27:42, -4.74
13:27:42, -0.687
13:27:42, -4
13:27:42, -10.6
13:27:42, -8.76
13:27:42, -0.353
13:27:42, -0.748
13:27:42, -17.7
13:27:42, -37.6
13:27:42, -41.4
13:27:42, -27.7
13:27:42, -12.6
13:27:42, -4.7
13:27:42, 3.23
13:27:42, 15.8
13:27:42, 21.2
13:27:42, 6.27
13:27:42, -18.2
13:27:42, -22.8
13:27:42, 4.58
13:27:42, 40.5
13:27:42, 53.1
13:27:42, 36.9
13:27:42, 11.9
13:27:42, -1.02
13:27:42, 4.36
13:27:42, 20.6
13:27:42, 32.4
13:27:42, 28.8
13:27:42, 16.2
13:27:42, 11.3
13:27:42, 16.6
13:27:42, 17
13:27:42, 4.16
13:27:42, -10.1
13:27:42, -14.6
13:27:42, -14.8
13:27:42, -16.8
13:27:42, -15.2
13:27:42, -6.8
13:27:42, 0.334
13:27:42, 3.68
13:27:42, 9.06
13:27:42, 19.1
13:27:42, 30.8
13:27:42, 42.3
13:27:42, 50
13:27:42, 42.9
13:27:42, 16.2
13:27:42, -14
13:27:42, -26.5
13:27:42, -21.6
13:27:42, -15.2
13:27:42, -14.3
13:27:42, -13.7
13:27:42, -8.73
13:27:42, -0.4
13:27:42, 4.97
13:27:42, 0.542
13:27:42, -9.15
13:27:42, -7.17
13:27:42, 14.8
13:27:42, 41.9
13:27:42, 51.7
13:27:42, 40.4
13:27:42, 25.9
13:27:42, 23.1
13:27:42, 24.8
13:27:42, 13.8
13:27:42, -13
13:27:42, -41.3
13:27:42, -55.4
13:27:42, -51.9
13:27:42, -38.8
13:27:42, -28.1
13:27:42, -25
13:27:42, -23.1
13:27:42, -14.1
13:27:42, 1.67
13:27:42, 16.9
13:27:42, 25.5
13:27:42, 26.6
13:27:42, 23.2
13:27:42, 17.1
13:27:42, 9.8
13:27:42, 7.85
13:27:42, 16.3
13:27:42, 27.4
13:27:42, 27.4
13:27:42, 15
13:27:42, 3.94
13:27:42, 4.27
13:27:42, 9.2
13:27:42, 5.65
13:27:42, -8.58
13:27:42, -21.8
13:27:42, -19.3
13:27:42, -1.11
13:27:42, 12.8
13:27:42, 8.7
13:27:42, 1.22
13:27:42, 7.64
13:27:42, 18.2
13:27:42, 8.68
13:27:42, 8.34
13:27:42, 26.5
13:27:42, 54
13:27:42, 66.4
13:27:42, 57.9
13:27:42, 44.8
13:27:42, 43.4
13:27:42, 58.3
13:27:42, 86.7
13:27:42, 123
13:27:42, 157
13:27:42, 181
13:27:42, 195
13:27:42, 212
13:27:42, 233
13:27:42, 250
13:27:42, 256
13:27:42, 255
13:27:42, 250
13:27:42, 238
13:27:42, 220
13:27:42, 211
13:27:42, 219
13:27:42, 229
13:27:42, 229
13:27:42, 223
13:27:42, 224
13:27:42, 227
13:27:42, 221
13:27:42, 203
13:27:42, 181
13:27:42, 165
13:27:42, 163
13:27:42, 176
13:27:42, 192
13:27:42, 192
13:27:42, 170
13:27:42, 135
13:27:42, 102
13:27:42, 81.4
13:27:42, 68.6
13:27:42, 49.6
13:27:42, 16.9
13:27:42, -20.3
13:27:42, -47.5
13:27:42, -59
13:27:42, -59.3
13:27:42, -59.8
13:27:42, -70.2
13:27:42, -87.2
13:27:42, -95.4
13:27:42, -88.7
13:27:42, -81.6
13:27:42, -94.4
13:27:42, -131
13:27:42, -180
13:27:42, -223
13:27:42, -239
13:27:42, -216
13:27:42, -178
13:27:42, -163
13:27:42, -175
13:27:42, -187
13:27:42, -166
13:27:42, -154
13:27:42, -155
13:27:42, -176
13:27:42, -207
13:27:42, -226
13:27:42, -227
13:27:42, -221
13:27:42, -215
13:27:42, -199
13:27:42, -175
13:27:42, -164
13:27:42, -180
13:27:42, -198
13:27:42, -188
13:27:42, -151
13:27:42, -118
13:27:42, -116
13:27:42, -145
13:27:42, -179
13:27:42, -196
13:27:42, -196
13:27:42, -191
13:27:42, -180
13:27:42, -155
13:27:42, -128
13:27:42, -121
13:27:42, -138
13:27:42, -161
13:27:42, -172
13:27:42, -172
13:27:42, -168
13:27:42, -157
13:27:42, -131
13:27:42, -97.1
13:27:42, -78.5
13:27:42, -87.8
13:27:42, -106
13:27:42, -106
13:27:42, -83.2
13:27:42, -56
13:27:42, -41.5
13:27:42, -42.1
13:27:42, -45.6
13:27:42, -41.2
13:27:42, -37.3
13:27:42, -52.6
13:27:42, -88.4
13:27:42, -117
13:27:42, -110
13:27:42, -71.8
13:27:42, -35
13:27:42, -22.9
13:27:42, -28.7
13:27:42, -32.6
13:27:42, -27
13:27:42, -17.5
13:27:42, -6.1
13:27:42, 9.35
13:27:42, 20.2
13:27:42, 10.2
13:27:42, -19.3
13:27:42, -41.7
13:27:42, -35.4
13:27:43, -12.6
13:27:43, 0.565
13:27:43, -9.33
13:27:43, -20.6
13:27:43, -8.13
13:27:43, 19.2
13:27:43, 29.1
13:27:43, 9.55
13:27:43, -18.2
13:27:43, -29
13:27:43, -20.9
13:27:43, -10.3
13:27:43, -9.3
13:27:43, -16.3
13:27:43, -25.9
13:27:43, -34.8
13:27:43, -37.9
13:27:43, -28.8
13:27:43, -9.11
13:27:43, 12.5
13:27:43, 30
13:27:43, 38.9
13:27:43, 31.7
13:27:43, 9.19
13:27:43, -11.7
13:27:43, -13.5
13:27:43, 0.873
13:27:43, 13.2
13:27:43, 13.7
13:27:43, 8.58
13:27:43, 2.88
13:27:43, -4.51
13:27:43, -10.5
13:27:43, -10.4
13:27:43, -7.06
13:27:43, -3.16
13:27:43, 6.36
13:27:43, 23.2
13:27:43, 39.1
13:27:43, 46.8
13:27:43, 48.5
13:27:43, 47.5
13:27:43, 44.7
13:27:43, 46.1
13:27:43, 56.1
13:27:43, 62
13:27:43, 48.7
13:27:43, 25.1
13:27:43, 14.9
13:27:43, 24.9
13:27:43, 41.8
13:27:43, 51
13:27:43, 46
13:27:43, 31.8
13:27:43, 27.3
13:27:43, 46.3
13:27:43, 75.5
13:27:43, 87.6
13:27:43, 72.8
13:27:43, 44.6
13:27:43, 23.3
13:27:43, 22.6
13:27:43, 39.6
13:27:43, 53.6
13:27:43, 43.4
13:27:43, 16.6
13:27:43, -11.7
13:27:43, -27.9
13:27:43, -27.7
13:27:43, -11.2
13:27:43, 16.5
13:27:43, 44.3
13:27:43, 61
13:27:43, 63.1
13:27:43, 57.4
13:27:43, 54.7
13:27:43, 62.1
13:27:43, 76
13:27:43, 83.2
13:27:43, 74
13:27:43, 54.4
13:27:43, 38.9
13:27:43, 29.7
13:27:43, 14.4
13:27:43, -10
13:27:43, -24.9
13:27:43, -16.2
13:27:43, 6.23
13:27:43, 26.1
13:27:43, 38.6
13:27:43, 42.1
13:27:43, 32.9
13:27:43, 16.9
13:27:43, 10.2
13:27:43, 19.8
13:27:43, 34.3
13:27:43, 38.6
13:27:43, 31.6
13:27:43, 25
13:27:43, 26.6
13:27:43, 29.2
13:27:43, 18.7
13:27:43, -7.76
13:27:43, -38.1
13:27:43, -56.8
13:27:43, -51.4
13:27:43, -16.9
13:27:43, 32.9
13:27:43, 69.1
13:27:43, 76.2
13:27:43, 64.7
13:27:43, 48.6
13:27:43, 31.4
13:27:43, 17.2
13:27:43, 16.3
13:27:43, 29.8
13:27:43, 43.1
13:27:43, 39
13:27:43, 14.1
13:27:43, -17.5
13:27:43, -33.4
13:27:43, -22.9
13:27:43, 1.94
13:27:43, 21.8
13:27:43, 33.3
13:27:43, 45.6
13:27:43, 58
13:27:43, 52
13:27:43, 15.6
13:27:43, -22.5
13:27:43, -26.9
13:27:43, 8.39
13:27:43, 50.6
13:27:43, 67.4
13:27:43, 54.9
13:27:43, 28
13:27:43, 4.27
13:27:43, -3.41
13:27:43, 3.74
13:27:43, 8.06
13:27:43, -2.28
13:27:43, -13.8
13:27:43, -8.82
13:27:43, 3.17
13:27:43, -0.709
13:27:43, -20.9
13:27:43, -37.2
13:27:43, -38.7
13:27:43, -32.2
13:27:43, -25
13:27:43, -18
13:27:43, -12.4
13:27:43, -8.22
13:27:43, 1.42
13:27:43, 23
13:27:43, 47.4
13:27:43, 54.6
13:27:43, 40.6
13:27:43, 24.7
13:27:43, 24.5
13:27:43, 33
13:27:43, 32.8
13:27:43, 22.8
13:27:43, 21.2
13:27:43, 37.5
13:27:43, 55.4
13:27:43, 55.7
13:27:43, 44.6
13:27:43, 38.4
13:27:43, 34.8
13:27:43, 22.5
13:27:43, 10.7
13:27:43, 16.9
13:27:43, 34
13:27:43, 35.5
13:27:43, 15.6
13:27:43, -2.82
13:27:43, -0.548
13:27:43, 15.3
13:27:43, 24.6
13:27:43, 18.5
13:27:43, 5.35
13:27:43, -4.02
13:27:43, -9.91
13:27:43, -17.2
13:27:43, -21.3
13:27:43, -11.2
13:27:43, 14.6
13:27:43, 40.7
13:27:43, 47.2
13:27:43, 28.9
13:27:43, 0.428
13:27:43, -19.1
13:27:43, -26.8
13:27:43, -32.6
13:27:43, -38
13:27:43, -32
13:27:43, -14.6
13:27:43, -4.55
13:27:43, -12.6
13:27:43, -24
13:27:43, -22.9
13:27:43, -18.8
13:27:43, -31.5
13:27:43, -56.8
13:27:43, -65.9
13:27:43, -40.4
13:27:43, 6.29
13:27:43, 45.4
13:27:43, 58.2
13:27:43, 45.8
13:27:43, 26.9
13:27:43, 27.2
13:27:43, 57.3
13:27:43, 97.4
13:27:43, 115
13:27:43, 97.9
13:27:43, 63.7
13:27:43, 34.7
13:27:43, 14.7
